         8182 function calls (7844 primitive calls) in 0.213 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.001    0.000 C:\Users\sahit\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\sqlalchemy\orm\attributes.py:2595(register_attribute_impl)
      114    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\weakref.py:414(__getitem__)
       18    0.000    0.000    0.000    0.000 C:\Users\sahit\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\sqlalchemy\sql\visitors.py:455(get_children)
        9    0.000    0.000    0.001    0.000 C:\Users\sahit\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\sqlalchemy\orm\interfaces.py:1053(_get_strategy)
      116    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\enum.py:1232(__hash__)
        8    0.000    0.000    0.000    0.000 C:\Users\sahit\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\sqlalchemy\orm\relationships.py:3240(<setcomp>)
        2    0.000    0.000    0.006    0.003 C:\Users\sahit\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\sqlalchemy\orm\session.py:2136(_execute_internal)
        2    0.000    0.000    0.002    0.001 C:\Users\sahit\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\sqlalchemy\sql\compiler.py:4755(visit_select)
        2    0.000    0.000    0.002    0.001 C:\Users\sahit\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\sqlalchemy\engine\base.py:1791(_execute_context)
       34    0.000    0.000    0.000    0.000 C:\Users\sahit\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\sqlalchemy\sql\visitors.py:513(run_generated_dispatch)
        1    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\re\_parser.py:516(_parse)
       62    0.000    0.000    0.000    0.000 C:\Users\sahit\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\sqlalchemy\sql\visitors.py:505(dispatch)
       12    0.000    0.000    0.000    0.000 C:\Users\sahit\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\sqlalchemy\event\registry.py:120(_stored_in_collection)
        2    0.000    0.000    0.000    0.000 C:\Users\sahit\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\sqlalchemy\orm\relationships.py:1672(_process_dependent_arguments)
       16    0.000    0.000    0.000    0.000 C:\Users\sahit\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\sqlalchemy\sql\elements.py:417(_clone)
       13    0.000    0.000    0.000    0.000 C:\Users\sahit\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\sqlalchemy\sql\type_api.py:202(operate)
       11    0.000    0.000    0.000    0.000 C:\Users\sahit\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\sqlalchemy\sql\compiler.py:7649(_requires_quotes)
       30    0.000    0.000    0.000    0.000 {built-in method _winapi.LCMapStringEx}
        5    0.000    0.000    0.000    0.000 {built-in method time.localtime}
       54    0.000    0.000    0.000    0.000 C:\Users\sahit\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\sqlalchemy\sql\visitors.py:481(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Users\sahit\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\flask\json\__init__.py:138(jsonify)
